Phrase	SoundsLike	IPA	DisplayAs
Kubernetes	koo-ber-net-eez		
DynamoDB	dye-nah-mo-dee-bee		
microservices	my-kro-ser-vis-ez		
A.P.I.-Gateway	ay-pee-eye-gate-way		API Gateway
WebSocket	web-sock-et		
Lambda	lam-duh		
CloudFormation	cloud-for-may-shun		
E.C.S.	ee-see-ess		ECS
Fargate	far-gate		
DevOps	dev-ops		
C.I.C.D.	see-eye-see-dee		CI/CD
GitHub	git-hub		
GitLab	git-lab		
Bitbucket	bit-buck-et		
Jenkins	jen-kinz		
Terraform	teh-ruh-form		
Docker	dock-er		
Dockerfile	dock-er-file		
Nginx	engine-ex		
Redis	red-iss		
PostgreSQL	post-gres-kew-ell		
MySQL	my-ess-kew-ell		
MongoDB	mon-go-dee-bee		
GraphQL	graf-kew-ell		
g.R.P.C.	gee-are-pee-see		gRPC
OAuth	oh-auth		
J.W.T.	jay-dub-you-tee		JWT
C.O.R.S.	see-oh-are-ess		CORS
H.T.T.P.S.	aitch-tee-tee-pee-ess		HTTPS
S.S.L.	ess-ess-ell		SSL
T.L.S.	tee-ell-ess		TLS
Webpack	web-pack		
TypeScript	type-script		
JavaScript	java-script		
Node-J.S.	node-jay-ess		Node.js
React	ree-act		
Vue-J.S.	view-jay-ess		Vue.js
Angular	ang-you-lar		
Next-J.S.	next-jay-ess		Next.js
Nuxt	nux		
Svelte	svelt		
Tailwind	tail-wind		
Bootstrap	boot-strap		
Python	pie-thon		
FastAPI	fast-ay-pee-eye		
Django	jang-go		
Flask	flask		
Celery	sell-er-ee		
SQLAlchemy	ess-kew-ell-al-keh-mee		
Java	jah-vuh		
Spring-Boot	spring-boot		Spring Boot
Kotlin	kot-lin		
Gradle	gray-dul		
Maven	may-ven		
Golang	go-lang		
Rust	rust		
C-plus-plus	see-plus-plus		C++
Swift	swift		
Flutter	flut-ter		
Dart	dart		
S-three	ess-three		S3
E.C.-two	ee-see-too		EC2
R.D.S.	are-dee-ess		RDS
S.Q.S.	ess-kew-ess		SQS
S.N.S.	ess-en-ess		SNS
CloudWatch	cloud-watch		
CloudFront	cloud-frunt		
I.A.M.	eye-ay-em		IAM
V.P.C.	vee-pee-see		VPC
Cognito	kog-nee-toe		
Bedrock	bed-rock		
SageMaker	sage-may-ker		
EventBridge	ee-vent-bridge		
Step-Functions	step-funk-shunz		Step Functions
OpenSearch	oh-pen-search		
ElastiCache	ee-las-tee-cash		
Aurora	aw-roar-uh		
Kinesis	kih-nee-sis		
AppSync	app-sink		
C.D.K.	see-dee-kay		CDK
S.A.M.	ess-ay-em		SAM
Serverless	ser-ver-less		
Amplify	am-plih-fye		
Azure	azh-er		
G.C.P.	gee-see-pee		GCP
Firebase	fire-base		
Vercel	ver-sell		
Netlify	net-lih-fye		
Heroku	heh-ro-koo		
Figma	fig-muh		
wireframe	wire-frame		
mockup	mock-up		
prototype	pro-toe-type		
U.I.-U.X.	you-eye-you-ex		UI/UX
responsive-design	ree-spon-siv-dee-zine		responsive design
design-system	dee-zine-sis-tem		design system
accessibility	ak-ses-ih-bil-ih-tee		
W.C.A.G.	dub-you-see-ay-gee		WCAG
heuristic	hyoo-ris-tik		
usability	yoo-zuh-bil-ih-tee		
user-journey	yoo-zer-jer-nee		user journey
persona	per-so-nuh		
A-B-testing	ay-bee-test-ing		A/B testing
design-tokens	dee-zine-toe-kenz		design tokens
I.o.T.	eye-oh-tee		IoT
M.Q.T.T.	em-kew-tee-tee		MQTT
Raspberry-Pi	raz-bear-ee-pie		Raspberry Pi
Arduino	ar-doo-ee-no		
E.S.P.-thirty-two	ee-ess-pee-thir-tee-too		ESP32
LoRa	loh-rah		
LoRaWAN	loh-rah-wan		
Zigbee	zig-bee		
Bluetooth-Low-Energy	bloo-tooth-low-en-er-jee		Bluetooth Low Energy
B.L.E.	bee-ell-ee		BLE
edge-computing	ej-com-pew-ting		edge computing
O.T.A.	oh-tee-ay		OTA
firmware	firm-ware		
embedded	em-bed-ed		
R.T.O.S.	are-tee-oh-ess		RTOS
G.P.I.O.	gee-pee-eye-oh		GPIO
S.P.I.	ess-pee-eye		SPI
U.A.R.T.	you-ay-are-tee		UART
A.W.S.-I.o.T.-Core	ay-dub-you-ess-eye-oh-tee-core		AWS IoT Core
I.o.T.-Greengrass	eye-oh-tee-green-grass		IoT Greengrass
digital-twin	dij-ih-tal-twin		digital twin
